Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,00,2014-00,39.03,39.13,38.51,38.58,8487200.0,35.13,0.0,35.13,35.13
2014-01-03,2014,1,3,Friday,00,2014-00,38.65,38.88,38.47,38.47,6545000.0,35.03,-0.0028509897734844136,35.08,35.08
2014-01-06,2014,1,6,Monday,01,2014-01,38.45,38.67,38.01,38.08,10585400.0,34.68,-0.010136737225251213,34.946666666666665,34.946666666666665
2014-01-07,2014,1,7,Tuesday,01,2014-01,38.33,38.71,38.24,38.6,8162200.0,35.15,0.013653910549505044,34.9975,34.9975
2014-01-08,2014,1,8,Wednesday,01,2014-01,38.64,39.08,38.6,39.01,10178800.0,35.52,0.010620587687567351,35.102000000000004,35.102000000000004
2014-01-09,2014,1,9,Thursday,01,2014-01,39.03,39.05,38.4,38.8,8361200.0,35.33,-0.005510919825351568,35.14000000000001,35.14000000000001
2014-01-10,2014,1,10,Friday,01,2014-01,38.78,38.99,38.47,38.83,6467000.0,35.36,0.0009022686289965609,35.17142857142858,35.17142857142858
2014-01-13,2014,1,13,Monday,02,2014-02,38.69,38.69,37.38,37.56,14644800.0,34.2,-0.032831268631082544,35.050000000000004,35.050000000000004
2014-01-14,2014,1,14,Tuesday,02,2014-02,37.56,38.18,37.38,37.73,18653200.0,34.35,0.004525981112595279,34.97222222222223,34.97222222222223
2014-01-15,2014,1,15,Wednesday,02,2014-02,37.77,38.17,37.71,38.1,8660200.0,34.69,0.009674090998327278,34.944,34.944
2014-01-16,2014,1,16,Thursday,02,2014-02,37.91,38.1,37.56,37.65,9072600.0,34.28,-0.011812499216415251,34.88363636363636,34.88363636363636
2014-01-17,2014,1,17,Friday,02,2014-02,37.5,37.73,37.33,37.45,12937400.0,34.1,-0.005180171382140664,34.818333333333335,34.818333333333335
2014-01-21,2014,1,21,Tuesday,03,2014-03,37.53,37.53,36.63,36.83,18774600.0,33.53,-0.01668868473434737,34.71923076923077,34.71923076923077
2014-01-22,2014,1,22,Wednesday,03,2014-03,36.97,37.1,36.77,36.8,13969400.0,33.51,-0.0006793183789239876,34.63285714285714,34.63285714285714
2014-01-23,2014,1,23,Thursday,03,2014-03,36.74,36.87,35.84,36.69,29936000.0,33.41,-0.0028530046829806643,34.51,34.55133333333333
2014-01-24,2014,1,24,Friday,03,2014-03,37.37,38.08,37.06,37.49,33049000.0,34.14,0.02166495293459203,34.44642857142857,34.525625
2014-01-27,2014,1,27,Monday,04,2014-04,37.62,37.62,37.01,37.1,18207200.0,33.78,-0.010269189481313945,34.38214285714285,34.48176470588235
2014-01-28,2014,1,28,Tuesday,04,2014-04,37.28,37.4,36.83,36.94,11091600.0,33.64,-0.0043121879066564395,34.27428571428572,34.434999999999995
2014-01-29,2014,1,29,Wednesday,04,2014-04,36.75,36.83,35.73,35.78,15959800.0,32.58,-0.03153328054936455,34.064285714285724,34.33736842105263
2014-01-30,2014,1,30,Thursday,04,2014-04,36.14,36.22,35.65,35.96,15179800.0,32.74,0.0048908329872277,33.87928571428572,34.2575
2014-01-31,2014,1,31,Friday,04,2014-04,35.44,35.97,35.44,35.56,12256600.0,32.38,-0.010985626714046237,33.666428571428575,34.16809523809523
2014-02-03,2014,2,3,Monday,05,2014-05,35.5,35.76,34.33,34.49,20311000.0,31.4,-0.0302308514397156,33.46642857142858,34.042272727272724
2014-02-04,2014,2,4,Tuesday,05,2014-05,35.0,35.6,34.69,35.33,20440800.0,32.29,0.028234777572689884,33.31928571428572,33.966086956521735
2014-02-05,2014,2,5,Wednesday,05,2014-05,35.04,35.37,34.81,35.24,10956000.0,32.21,-0.0022648845652056826,33.142142857142865,33.892916666666665
2014-02-06,2014,2,6,Thursday,05,2014-05,35.33,36.4,35.28,36.18,13818400.0,33.07,0.026528596417245698,33.055714285714295,33.86
2014-02-07,2014,2,7,Friday,05,2014-05,36.81,37.24,36.35,37.02,14657600.0,33.84,0.023217508621818483,33.03714285714286,33.85923076923077
2014-02-10,2014,2,10,Monday,06,2014-06,37.15,37.59,37.15,37.4,12944600.0,34.18,0.010264751556821494,33.08357142857143,33.87111111111111
2014-02-11,2014,2,11,Tuesday,06,2014-06,37.44,37.6,36.9,37.25,16124000.0,34.05,-0.004010727264184943,33.12214285714286,33.8775
2014-02-12,2014,2,12,Wednesday,06,2014-06,37.24,37.53,36.85,36.96,9956600.0,33.78,-0.00791952294622389,33.14857142857144,33.87413793103448
2014-02-13,2014,2,13,Thursday,06,2014-06,36.78,37.35,36.69,37.35,8447800.0,34.13,0.010553302989575464,33.147857142857156,33.882666666666665
2014-02-14,2014,2,14,Friday,06,2014-06,37.17,37.54,37.01,37.51,8241000.0,34.29,0.0045520891775840955,33.18428571428573,33.895806451612906
2014-02-18,2014,2,18,Tuesday,07,2014-07,37.49,37.5,36.97,36.99,10923400.0,33.8,-0.014127857752381678,33.195714285714295,33.8928125
2014-02-19,2014,2,19,Wednesday,07,2014-07,36.92,37.14,36.62,36.66,9770600.0,33.51,-0.008787325991659212,33.26214285714287,33.881212121212116
2014-02-20,2014,2,20,Thursday,07,2014-07,36.7,36.85,36.24,36.78,8552600.0,33.61,0.003137275261179573,33.32428571428573,33.87323529411764
2014-02-21,2014,2,21,Friday,07,2014-07,36.89,36.93,36.26,36.28,11288200.0,33.16,-0.013460600383113142,33.38000000000001,33.85285714285714
2014-02-24,2014,2,24,Monday,08,2014-08,36.33,36.44,36.01,36.28,11933800.0,33.16,0.0,33.5057142857143,33.83361111111111
2014-02-25,2014,2,25,Tuesday,08,2014-08,36.25,36.33,35.28,35.28,18618400.0,32.24,-0.027700951167189958,33.502142857142864,33.79054054054054
2014-02-26,2014,2,26,Wednesday,08,2014-08,35.4,36.11,34.97,35.89,19129200.0,32.8,0.01743447916166274,33.54428571428573,33.76447368421052
2014-02-27,2014,2,27,Thursday,08,2014-08,35.81,36.12,35.72,36.1,11288200.0,32.99,0.005711870132754759,33.538571428571444,33.744615384615386
2014-02-28,2014,2,28,Friday,08,2014-08,35.77,35.97,35.25,35.48,22464800.0,32.43,-0.017038405532067258,33.43785714285716,33.71175
2014-03-03,2014,3,3,Monday,09,2014-09,35.01,35.37,35.0,35.24,12248400.0,32.2,-0.006905076780717612,33.296428571428585,33.67487804878049
2014-03-04,2014,3,4,Tuesday,09,2014-09,35.72,35.98,35.53,35.83,12226200.0,32.75,0.016886037959707112,33.20357142857144,33.652857142857144
2014-03-05,2014,3,5,Wednesday,09,2014-09,35.99,36.04,35.44,35.65,9715600.0,32.58,-0.005023439767880777,33.117857142857154,33.627906976744185
2014-03-06,2014,3,6,Thursday,09,2014-09,35.92,36.67,35.88,36.35,13762600.0,33.22,0.019495208765930583,33.05285714285716,33.61863636363636
2014-03-07,2014,3,7,Friday,09,2014-09,36.49,36.55,36.1,36.53,8386000.0,33.39,0.005227637414964237,32.98857142857144,33.61355555555556
2014-03-10,2014,3,10,Monday,10,2014-10,36.62,36.82,36.4,36.78,8633800.0,33.62,0.006705568568171394,32.9757142857143,33.61369565217392
2014-03-11,2014,3,11,Tuesday,10,2014-10,36.99,37.71,36.92,37.51,18344400.0,34.29,0.019983958544594227,33.031428571428584,33.628085106382976
2014-03-12,2014,3,12,Wednesday,10,2014-10,37.28,37.83,37.25,37.81,10394600.0,34.56,0.007996755771689124,33.09928571428573,33.6475
2014-03-13,2014,3,13,Thursday,10,2014-10,37.92,38.21,37.01,37.22,11380800.0,34.01,-0.015866629978520175,33.16000000000002,33.65489795918367
2014-03-14,2014,3,14,Friday,10,2014-10,37.04,37.44,37.01,37.13,8962600.0,33.94,-0.0021495239162293567,33.2157142857143,33.6606
2014-03-17,2014,3,17,Monday,11,2014-11,37.4,37.49,36.91,37.09,11019800.0,33.9,-0.0012121754339863289,33.33428571428573,33.635999999999996
2014-03-18,2014,3,18,Tuesday,11,2014-11,37.17,37.42,37.03,37.3,5997600.0,34.09,0.005661996105978062,33.42642857142859,33.6172
2014-03-19,2014,3,19,Wednesday,11,2014-11,37.5,38.67,37.41,37.96,24983200.0,34.69,0.01756050880649429,33.547857142857154,33.617399999999996
2014-03-20,2014,3,20,Thursday,11,2014-11,38.15,38.56,37.8,38.48,13851400.0,35.17,0.013831897301106899,33.74357142857144,33.617799999999995
2014-03-21,2014,3,21,Friday,11,2014-11,39.1,39.32,38.31,38.35,18034400.0,35.06,-0.003248124567627131,33.94785714285716,33.608599999999996
2014-03-24,2014,3,24,Monday,12,2014-12,38.45,38.56,37.6,37.88,10018800.0,34.63,-0.01225416582875638,34.08214285714287,33.5946
2014-03-25,2014,3,25,Tuesday,12,2014-12,38.22,38.26,37.15,37.31,10568200.0,34.1,-0.01530938144423033,34.1907142857143,33.5694
2014-03-26,2014,3,26,Wednesday,12,2014-12,37.47,37.49,36.76,36.77,8371200.0,33.61,-0.014341310250352568,34.218571428571444,33.5576
2014-03-27,2014,3,27,Thursday,12,2014-12,36.53,36.98,36.35,36.7,12675600.0,33.54,-0.0019040216014621913,34.22928571428572,33.541399999999996
2014-03-28,2014,3,28,Friday,12,2014-12,36.65,37.03,36.53,36.85,6582800.0,33.68,0.004087569657682311,34.23357142857144,33.5212
2014-03-31,2014,3,31,Monday,13,2014-13,36.95,37.2,36.58,36.69,7721800.0,33.53,-0.00434185658938524,34.17928571428572,33.5062
2014-04-01,2014,4,1,Tuesday,13,2014-13,36.82,37.49,36.71,37.01,8740800.0,33.82,0.008585185461574385,34.126428571428576,33.5006
2014-04-02,2014,4,2,Wednesday,13,2014-13,37.17,37.19,36.62,36.83,8304400.0,33.67,-0.004594027324599126,34.10214285714286,33.5034
2014-04-03,2014,4,3,Thursday,13,2014-13,36.93,37.17,36.41,36.54,7165400.0,33.4,-0.007872665842223014,34.06357142857143,33.501200000000004
2014-04-04,2014,4,4,Friday,13,2014-13,36.78,36.94,35.66,35.78,11708600.0,32.7,-0.02107010076786231,33.97785714285715,33.487
2014-04-07,2014,4,7,Monday,14,2014-14,35.6,35.69,35.03,35.22,11089800.0,32.19,-0.015653372035774882,33.84214285714286,33.448
2014-04-08,2014,4,8,Tuesday,14,2014-14,35.32,35.85,35.25,35.74,10660800.0,32.67,0.014908484547437428,33.69785714285715,33.4258
2014-04-09,2014,4,9,Wednesday,14,2014-14,35.81,36.34,35.6,36.24,9055600.0,33.12,0.01398996495968996,33.55142857142858,33.4154
2014-04-10,2014,4,10,Thursday,14,2014-14,36.37,36.37,35.08,35.11,13375400.0,32.09,-0.031180987772249757,33.339285714285715,33.4056
2014-04-11,2014,4,11,Friday,14,2014-14,34.9,35.06,34.34,34.37,16367200.0,31.41,-0.02121907696016656,33.10928571428572,33.379
2014-04-14,2014,4,14,Monday,15,2014-15,34.81,35.02,34.35,34.65,12175400.0,31.67,0.008438880061193421,32.93571428571429,33.3648
2014-04-15,2014,4,15,Tuesday,15,2014-15,34.98,35.05,33.97,34.44,15461800.0,31.48,-0.0060595885434237,32.783571428571435,33.3664
2014-04-16,2014,4,16,Wednesday,15,2014-15,34.83,35.44,34.58,35.4,11277400.0,32.35,0.02757985664373197,32.698571428571434,33.367599999999996
2014-04-17,2014,4,17,Thursday,15,2014-15,35.28,35.69,35.07,35.08,9245800.0,32.06,-0.009040798506191106,32.58285714285715,33.364599999999996
2014-04-21,2014,4,21,Monday,16,2014-16,35.15,35.3,34.92,35.24,6095600.0,32.21,0.0047043754475726285,32.48857142857143,33.3474
2014-04-22,2014,4,22,Tuesday,16,2014-16,35.26,35.64,35.17,35.58,8862600.0,32.51,0.009506229865453797,32.395,33.3208
2014-04-23,2014,4,23,Wednesday,16,2014-16,35.73,35.74,35.11,35.19,8881600.0,32.17,-0.010681573909571696,32.28785714285714,33.2806
2014-04-24,2014,4,24,Thursday,16,2014-16,35.76,36.02,35.06,35.54,15577000.0,32.49,0.00994400301977394,32.222857142857144,33.2494
2014-04-25,2014,4,25,Friday,16,2014-16,36.0,36.12,35.47,35.72,18111400.0,32.65,0.005064423149521602,32.21928571428572,33.226800000000004
2014-04-28,2014,4,28,Monday,17,2014-17,35.94,36.01,34.9,35.47,10733600.0,32.41,-0.007277612066545314,32.235,33.1924
2014-04-29,2014,4,29,Tuesday,17,2014-17,35.59,35.72,35.13,35.32,9827200.0,32.28,-0.00408892012565687,32.20714285714286,33.1522
2014-04-30,2014,4,30,Wednesday,17,2014-17,35.31,35.38,35.06,35.31,7282400.0,32.27,-0.00028289963857619504,32.14642857142857,33.1216
2014-05-01,2014,5,1,Thursday,17,2014-17,35.38,35.6,35.16,35.56,7918400.0,32.5,0.007080402521474349,32.175714285714285,33.101400000000005
2014-05-02,2014,5,2,Friday,17,2014-17,35.62,35.76,35.28,35.3,8306400.0,32.26,-0.007311847796756532,32.23642857142857,33.074400000000004
2014-05-05,2014,5,5,Monday,18,2014-18,35.25,35.53,35.09,35.46,5486400.0,32.41,0.004532741359077441,32.28928571428572,33.059400000000004
2014-05-06,2014,5,6,Tuesday,18,2014-18,35.37,35.42,34.67,34.79,10926800.0,31.91,-0.015284588080077599,32.32,33.034400000000005
2014-05-07,2014,5,7,Wednesday,18,2014-18,34.89,35.0,34.57,34.87,10959800.0,31.99,0.002299411269673257,32.294285714285714,33.0294
2014-05-08,2014,5,8,Thursday,18,2014-18,34.8,35.25,34.67,34.79,7531400.0,31.91,-0.002294136107254041,32.28357142857143,33.01160000000001
2014-05-09,2014,5,9,Friday,18,2014-18,34.85,35.15,34.76,35.15,6623200.0,32.24,0.010204033454479733,32.28571428571429,32.99660000000001
2014-05-12,2014,5,12,Monday,19,2014-19,35.32,35.62,35.2,35.58,7227200.0,32.63,0.012234982468039002,32.29428571428572,33.000600000000006
2014-05-13,2014,5,13,Tuesday,19,2014-19,35.49,35.67,35.45,35.58,5803000.0,32.64,0.0001406223973021703,32.32785714285715,33.00940000000001
2014-05-14,2014,5,14,Wednesday,19,2014-19,35.59,35.6,35.01,35.08,8585000.0,32.18,-0.013912413563863968,32.30571428571429,32.99800000000001
2014-05-15,2014,5,15,Thursday,19,2014-19,35.13,35.17,34.64,34.92,9124600.0,32.04,-0.004560155496158402,32.26214285714286,32.98720000000001
2014-05-16,2014,5,16,Friday,19,2014-19,35.0,35.52,34.9,35.47,9294800.0,32.54,0.015604775079987254,32.27142857142858,32.97360000000001
2014-05-19,2014,5,19,Monday,20,2014-20,35.28,35.56,35.14,35.51,6745000.0,32.57,0.0011274886348395796,32.292142857142856,32.95720000000001
2014-05-20,2014,5,20,Tuesday,20,2014-20,35.38,35.45,34.92,35.12,8699800.0,32.21,-0.011123182249189068,32.28785714285714,32.92900000000001
2014-05-21,2014,5,21,Wednesday,20,2014-20,35.35,35.38,35.03,35.2,6089200.0,32.29,0.002420356670428614,32.27285714285715,32.88900000000001
2014-05-22,2014,5,22,Thursday,20,2014-20,35.17,35.88,35.15,35.7,7359600.0,32.75,0.014204607208710973,32.307857142857145,32.85280000000001
2014-05-23,2014,5,23,Friday,20,2014-20,36.15,36.26,35.92,35.99,7166400.0,33.01,0.00812357998971458,32.35071428571429,32.83280000000001
2014-05-27,2014,5,27,Tuesday,21,2014-21,36.32,36.89,36.27,36.83,10100400.0,33.79,0.02333942834033831,32.48500000000001,32.829800000000006
2014-05-28,2014,5,28,Wednesday,21,2014-21,36.65,36.78,36.46,36.63,8210000.0,33.61,-0.005294684122688298,32.60071428571429,32.824000000000005
2014-05-29,2014,5,29,Thursday,21,2014-21,36.76,36.78,36.33,36.56,6448000.0,33.53,-0.0021834958317659137,32.71642857142857,32.81280000000001
2014-05-30,2014,5,30,Friday,21,2014-21,36.58,36.75,36.26,36.62,6879200.0,33.59,0.0017780578784571954,32.81285714285714,32.790800000000004
2014-06-02,2014,6,2,Monday,22,2014-22,36.61,37.03,36.58,36.92,5926200.0,33.87,0.008328639627895207,32.901428571428575,32.7648
2014-06-03,2014,6,3,Tuesday,22,2014-22,36.86,37.17,36.79,37.09,6764400.0,34.02,0.004468513467537294,33.0,32.744
2014-06-04,2014,6,4,Wednesday,22,2014-22,37.06,37.35,36.82,37.33,6495800.0,34.25,0.006605680973089223,33.14785714285714,32.736399999999996
2014-06-05,2014,6,5,Thursday,22,2014-22,37.18,37.57,37.1,37.36,5187400.0,34.27,0.0006696325641915024,33.30714285714286,32.7398
2014-06-06,2014,6,6,Friday,22,2014-22,37.53,37.77,37.4,37.67,6204800.0,34.55,0.008163894537776217,33.450714285714284,32.7586
2014-06-09,2014,6,9,Monday,23,2014-23,37.69,37.7,37.33,37.59,5701000.0,34.48,-0.001991296633752526,33.58714285714286,32.7774
2014-06-10,2014,6,10,Tuesday,23,2014-23,37.62,37.72,37.16,37.3,6641000.0,34.22,-0.007714910504361017,33.730714285714285,32.7882
2014-06-11,2014,6,11,Wednesday,23,2014-23,37.07,37.44,36.92,37.4,7510800.0,34.31,0.0026812667307420934,33.87499999999999,32.8038
2014-06-12,2014,6,12,Thursday,23,2014-23,37.35,37.35,36.87,36.98,7193800.0,33.92,-0.011230094518479672,33.958571428571425,32.805800000000005
2014-06-13,2014,6,13,Friday,23,2014-23,36.94,37.45,36.76,37.35,7708800.0,34.26,0.009870128176049375,34.04785714285714,32.8176
2014-06-16,2014,6,16,Monday,24,2014-24,37.24,37.58,37.23,37.54,6759600.0,34.44,0.005355625873632475,34.09428571428571,32.8384
2014-06-17,2014,6,17,Tuesday,24,2014-24,37.51,37.83,37.49,37.65,5778600.0,34.54,0.0029295926404202532,34.160714285714285,32.8752
2014-06-18,2014,6,18,Wednesday,24,2014-24,37.6,37.84,37.3,37.78,5786600.0,34.66,0.0033197095662742537,34.24142857142857,32.9246
2014-06-19,2014,6,19,Thursday,24,2014-24,38.28,38.75,38.23,38.62,12555000.0,35.42,0.02210164831989725,34.372142857142855,32.9796
2014-06-20,2014,6,20,Friday,24,2014-24,38.81,38.81,38.21,38.3,12436000.0,35.13,-0.008157453092140887,34.46214285714285,33.019800000000004
2014-06-23,2014,6,23,Monday,25,2014-25,38.35,38.63,38.1,38.37,4779800.0,35.19,0.001697155790128635,34.545714285714276,33.08180000000001
2014-06-24,2014,6,24,Tuesday,25,2014-25,38.45,38.88,38.27,38.72,10912400.0,35.51,0.009122731104888482,34.63571428571428,33.16380000000001
2014-06-25,2014,6,25,Wednesday,25,2014-25,38.52,39.09,38.48,39.06,7813800.0,35.83,0.008911471754291966,34.747142857142855,33.247
2014-06-26,2014,6,26,Thursday,25,2014-25,39.01,39.17,38.74,39.03,6983200.0,35.8,-0.0007682418854717543,34.83642857142856,33.333400000000005
2014-06-27,2014,6,27,Friday,25,2014-25,38.98,39.17,38.9,38.97,8669200.0,35.75,-0.0015372388875410925,34.92714285714284,33.4014
2014-06-30,2014,6,30,Monday,26,2014-26,39.05,39.1,38.54,38.69,9610000.0,35.49,-0.0071849685489558945,35.017857142857125,33.470000000000006
2014-07-01,2014,7,1,Tuesday,26,2014-26,38.94,39.1,38.8,39.04,8061400.0,35.81,0.009046099920044348,35.12499999999998,33.542
2014-07-02,2014,7,2,Wednesday,26,2014-26,39.19,39.21,38.96,39.1,4785200.0,35.86,0.0014089168340689628,35.2635714285714,33.609
2014-07-03,2014,7,3,Thursday,26,2014-26,39.19,39.7,39.07,39.53,6662600.0,36.26,0.011126770900589111,35.40642857142855,33.690799999999996
2014-07-07,2014,7,7,Monday,27,2014-27,39.39,39.69,39.31,39.35,7443600.0,36.09,-0.004679937588208394,35.524285714285696,33.7628
2014-07-08,2014,7,8,Tuesday,27,2014-27,39.32,39.45,39.12,39.28,7802000.0,36.03,-0.0016522909008583886,35.63071428571427,33.8304
2014-07-09,2014,7,9,Wednesday,27,2014-27,39.27,39.74,39.18,39.72,7782600.0,36.44,0.011329085085227453,35.75785714285713,33.910999999999994
2014-07-10,2014,7,10,Thursday,27,2014-27,39.31,39.53,39.1,39.42,4720000.0,36.17,-0.0075518267546604845,35.81142857142855,33.9888
2014-07-11,2014,7,11,Friday,27,2014-27,39.48,39.49,39.07,39.3,4239400.0,36.05,-0.0031705642030549486,35.877142857142836,34.0644
2014-07-14,2014,7,14,Monday,28,2014-28,39.49,39.49,39.21,39.28,4562000.0,36.03,-0.000509174667227108,35.93714285714284,34.135
2014-07-15,2014,7,15,Tuesday,28,2014-28,39.33,39.58,39.23,39.44,8305600.0,36.18,0.004200713631151043,35.98499999999998,34.2134
2014-07-16,2014,7,16,Wednesday,28,2014-28,39.53,39.53,39.15,39.37,8615400.0,36.11,-0.002027946998852448,36.00499999999998,34.28739999999999
2014-07-17,2014,7,17,Thursday,28,2014-28,39.06,39.23,38.56,38.62,8446400.0,35.43,-0.018925507639322547,35.97857142857141,34.35779999999999
2014-07-18,2014,7,18,Friday,28,2014-28,38.85,39.08,38.62,38.97,6744600.0,35.75,0.00906260384065316,35.97857142857141,34.43299999999999
2014-07-21,2014,7,21,Monday,29,2014-29,38.93,38.97,38.58,38.81,5021000.0,35.6,-0.004233808770694014,35.98642857142856,34.50679999999999
